Epoch 274, Loss= 0.811837
Epoch 275, Loss= 0.991710
Epoch 276, Loss= 0.982434
Epoch 277, Loss= 1.130253
Epoch 278, Loss= 1.233470
Epoch 279, Loss= 1.207547
Epoch 280, Loss= 0.845872
Epoch 281, Loss= 0.953272
Epoch 282, Loss= 1.351341
Epoch 283, Loss= 1.013741
Epoch 284, Loss= 1.054030
Epoch 285, Loss= 0.926158
Epoch 286, Loss= 0.734505
Epoch 287, Loss= 1.168433
Epoch 288, Loss= 0.986879
Epoch 289, Loss= 1.012536
Epoch 290, Loss= 0.842687
Epoch 291, Loss= 0.935268
Epoch 292, Loss= 1.078970
Epoch 293, Loss= 1.056821
Epoch 294, Loss= 0.823370
Epoch 295, Loss= 0.735126
Epoch 296, Loss= 1.440479
Epoch 297, Loss= 1.761424
Epoch 298, Loss= 1.102073
Epoch 299, Loss= 0.887003
Epoch 300, Loss= 0.888156
Epoch 301, Loss= 0.819148
Epoch 302, Loss= 1.256954
Epoch 303, Loss= 1.250309
Epoch 304, Loss= 1.127186
Epoch 305, Loss= 0.905781
Epoch 306, Loss= 0.920773
Epoch 307, Loss= 0.762206
Epoch 308, Loss= 0.837272
Epoch 309, Loss= 0.846365
Epoch 310, Loss= 1.080788
Epoch 311, Loss= 0.848081
Epoch 312, Loss= 1.097813
Epoch 313, Loss= 1.106349
Epoch 314, Loss= 1.065756
Epoch 315, Loss= 0.936017
Epoch 316, Loss= 1.063923
Epoch 317, Loss= 0.738706
Epoch 318, Loss= 5.075263
Epoch 319, Loss= 1.083934
Epoch 320, Loss= 0.996412
Epoch 321, Loss= 0.598762
Epoch 322, Loss= 0.929968
Epoch 323, Loss= 1.068526
Epoch 324, Loss= 0.766093
Epoch 325, Loss= 0.686940
Epoch 326, Loss= 0.578781
Epoch 327, Loss= 0.611471
Epoch 328, Loss= 0.610434
Epoch 329, Loss= 0.744285
Epoch 330, Loss= 0.717585
Epoch 331, Loss= 0.824933
Epoch 332, Loss= 0.635177
Epoch 333, Loss= 0.624757
Epoch 334, Loss= 0.942073
Epoch 335, Loss= 0.836611
Epoch 336, Loss= 0.971376
Epoch 337, Loss= 0.666858
Epoch 338, Loss= 0.706375
Epoch 339, Loss= 0.845179
Epoch 340, Loss= 1.092173
Epoch 341, Loss= 0.794038
Epoch 342, Loss= 0.641950
Epoch 343, Loss= 0.722221
Epoch 344, Loss= 0.617480
Epoch 345, Loss= 0.678055
Epoch 346, Loss= 0.883944
Epoch 347, Loss= 0.616739
Epoch 348, Loss= 0.767185
Epoch 349, Loss= 0.704197
WARNING:tensorflow:Error encountered when serializing LAYER_NAME_UIDS.
Type is unsupported, or the types of the items don't match field type in CollectionDef.
'dict' object has no attribute 'name'
2017-06-02 19:46:42.160061: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1030] Creating TensorFlow device (/gpu:0) -> (device: 0, name: GeForce GTX 1070, pci bus id: 0000:01:00.0)
0.5401

